m,T_K,P_MPa,eta
0.1,293.15,0.1,1.0319
0.1,293.15,10.0,1.0325
0.1,293.15,30.0,1.034
0.1,293.15,60.0,1.037
0.1,298.15,0.1,0.9179
0.1,298.15,10.0,0.9185
0.1,298.15,30.0,0.9196
0.1,298.15,60.0,0.922
0.1,310.25,0.1,0.713
0.1,310.25,10.0,0.7136
0.1,310.25,30.0,0.7165
0.1,310.25,60.0,0.7199
0.1,331.45,0.1,0.4958
0.1,331.45,10.0,0.4982
0.1,331.45,30.0,0.5033
0.1,331.45,60.0,0.5113
0.1,346.95,0.1,0.3978
0.1,346.95,10.0,0.401
0.1,346.95,30.0,0.4065
0.1,346.95,60.0,0.415
0.1,371.59,0.1,0.2967
0.1,371.59,10.0,0.2996
0.1,371.59,30.0,0.3056
0.1,371.59,60.0,0.3139
0.1,397.4,10.0,0.2342
0.1,397.4,30.0,0.2396
0.1,397.4,60.0,0.2478
0.1,421.85,10.0,0.1931
0.1,421.85,30.0,0.1983
0.1,421.85,60.0,0.2045
0.1,445.65,10.0,0.1649
0.1,445.65,30.0,0.1695
0.1,445.65,60.0,0.1765
0.1,468.35,10.0,0.1446
0.1,468.35,30.0,0.149
0.1,468.35,60.0,0.1563
0.1,488.47,10.0,0.1305
0.1,488.47,30.0,0.1353
0.1,488.47,60.0,0.142
0.1,510.75,10.0,0.1176
0.1,510.75,30.0,0.1225
0.1,510.75,60.0,0.1295
0.1,527.45,10.0,0.1092
0.1,527.45,30.0,0.1145
0.1,527.45,60.0,0.1215
0.1,543.95,10.0,0.1017
0.1,543.95,30.0,0.1073
0.1,543.95,60.0,0.1145
0.1,574.85,10.0,0.0885
0.1,574.85,30.0,0.0955
0.1,574.85,60.0,0.1024
0.33,293.15,0.1,1.1
0.33,293.15,10.0,1.1005
0.33,293.15,30.0,1.1002
0.33,293.15,60.0,1.1003
0.33,298.15,0.1,0.9816
0.33,298.15,10.0,0.982
0.33,298.15,30.0,0.9825
0.33,298.15,60.0,0.984
0.33,312.45,0.1,0.733
0.33,312.45,10.0,0.7335
0.33,312.45,30.0,0.7342
0.33,312.45,60.0,0.735
0.33,334.26,0.1,0.5118
0.33,334.26,10.0,0.5139
0.33,334.26,30.0,0.5195
0.33,334.26,60.0,0.5265
0.33,349.52,0.1,0.416
0.33,349.52,10.0,0.4191
0.33,349.52,30.0,0.424
0.33,349.52,60.0,0.4328
0.33,368.75,0.1,0.3325
0.33,368.75,10.0,0.3336
0.33,368.75,30.0,0.3354
0.33,368.75,60.0,0.3397
0.33,394.24,10.0,0.2627
0.33,394.24,30.0,0.2798
0.33,394.24,60.0,0.2778
0.33,418.47,10.0,0.2164
0.33,418.47,30.0,0.2229
0.33,418.47,60.0,0.2304
0.33,440.46,10.0,0.1865
0.33,440.46,30.0,0.1932
0.33,440.46,60.0,0.1996
0.33,466.75,10.0,0.1597
0.33,466.75,30.0,0.1654
0.33,466.75,60.0,0.1724
0.33,486.75,10.0,0.1441
0.33,486.75,30.0,0.1497
0.33,486.75,60.0,0.156
0.33,508.35,10.0,0.1303
