T_K,m_KCl,m_CaCl2,rho_g_cm3,eta_mPas
293.15,0.5,0.5,1.0635,1.1645
293.15,1.0,0.5,1.0838,1.1614
293.15,1.5,0.5,1.1031,1.1583
293.15,2.0,0.5,1.1216,1.1679
293.15,2.5,0.5,1.1435,1.1841
293.15,3.0,0.5,1.1565,1.1926
293.15,3.5,0.5,1.1726,1.2045
293.15,0.5,1.0,1.1035,1.3347
293.15,1.0,1.0,1.1217,1.3284
293.15,1.5,1.0,1.1409,1.331
293.15,2.0,1.0,1.1576,1.35
293.15,2.5,1.0,1.1744,1.3782
293.15,3.0,1.0,1.1903,1.3862
293.15,0.5,1.5,1.1406,1.5371
293.15,1.0,1.5,1.1583,1.5604
293.15,1.5,1.5,1.1755,1.5799
293.15,2.0,1.5,1.1918,1.5867
293.15,2.5,1.5,1.2076,1.6007
293.15,0.5,2.0,1.1775,1.8036
293.15,1.0,2.0,1.1933,1.8231
293.15,1.5,2.0,1.2094,1.8428
293.15,2.0,2.0,1.2249,1.8654
293.15,0.5,2.5,1.2117,2.1489
293.15,1.0,2.5,1.227,2.1653
293.15,1.5,2.5,1.2423,2.1989
293.15,0.5,3.0,1.2439,2.5305
293.15,1.0,3.0,1.2586,2.5733
293.15,0.5,3.5,1.274,3.0547
293.15,0.1,3.5,1.2888,3.1415
293.15,0.5,4.0,1.3038,3.7359
298.15,0.5,0.5,1.062,1.0495
298.15,1.0,0.5,1.0819,1.0496
298.15,1.5,0.5,1.1013,1.0497
298.15,2.0,0.5,1.1197,1.0622
298.15,2.5,0.5,1.1414,1.0738
298.15,3.0,0.5,1.1544,1.0817
298.15,3.5,0.5,1.1704,1.0991
298.15,0.5,1.0,1.1017,1.1979
298.15,1.0,1.0,1.1195,1.1975
298.15,1.5,1.0,1.1388,1.2134
298.15,2.0,1.0,1.1555,1.2221
298.15,2.5,1.0,1.1722,1.2692
298.15,3.0,1.0,1.188,1.3165
298.15,0.5,1.5,1.1387,1.3839
298.15,1.0,1.5,1.1562,1.4057
298.15,1.5,1.5,1.1733,1.4249
298.15,2.0,1.5,1.1895,1.435
298.15,2.5,1.5,1.2028,1.4773
298.15,0.5,2.0,1.175,1.6218
298.15,1.0,2.0,1.1911,1.6724
298.15,1.5,2.0,1.2069,1.6691
298.15,2.0,2.0,1.2224,1.6944
298.15,0.5,2.5,1.2093,1.9398
298.15,1.0,2.5,1.2245,1.9457
298.15,1.5,2.5,1.2397,1.9879
298.15,0.5,3.0,1.2414,2.3071
298.15,1.0,3.0,1.256,2.3096
298.15,0.5,3.5,1.2713,2.7324
298.15,1.0,3.5,1.2851,2.7906
298.15,0.5,4.0,1.301,3.348
303.15,0.5,0.5,1.0601,0.949
303.15,1.0,0.5,1.08,0.9466
303.15,1.5,0.5,1.0993,0.9576
303.15,2.0,0.5,1.1176,0.971
303.15,2.5,0.5,1.1393,0.9752
303.15,3.0,0.5,1.1521,0.988
303.15,3.5,0.5,1.1681,1.0089
303.15,0.5,1.0,1.0998,1.0868
303.15,1.0,1.0,1.1172,1.0875
303.15,1.5,1.0,1.1367,1.0943
303.15,2.0,1.0,1.1533,1.1129
303.15,2.5,1.0,1.1699,1.142
303.15,3.0,1.0,1.1857,1.1505
303.15,0.5,1.5,1.1366,1.2637
303.15,1.0,1.5,1.1539,1.2738
303.15,1.5,1.5,1.1711,1.2823
303.15,2.0,1.5,1.1871,1.3095
303.15,2.5,1.5,1.2028,1.3256
303.15,0.5,2.0,1.1727,1.4665
303.15,1.0,2.0,1.1887,1.5057
303.15,1.5,2.0,1.2045,1.5133
303.15,2.0,2.0,1.22,1.5328
303.15,0.5,2.5,1.2069,1.7343
303.15,1.0,2.5,1.2221,1.7514
303.15,1.5,2.5,1.2372,1.8023
303.15,0.5,3.0,1.2389,2.064
303.15,1.0,3.0,1.2534,2.0813
303.15,0.5,3.5,1.2687,2.4762
303.15,1.0,3.5,1.2832,2.5279
303.15,0.5,4.0,1.2982,3.018
308.15,0.5,0.5,1.0582,0.8696
308.15,1.0,0.5,1.0778,0.8657
308.15,1.5,0.5,1.0972,0.8764
308.15,2.0,0.5,1.1155,0.8835
308.15,2.5,0.5,1.137,0.8957
308.15,3.0,0.5,1.1498,0.9097
308.15,3.5,0.5,1.1658,0.9305
308.15,0.5,1.0,1.0977,0.9649
308.15,1.0,1.0,1.1149,0.9927
308.15,1.5,1.0,1.1345,1.0043
308.15,2.0,1.0,1.151,1.0214
308.15,2.5,1.0,1.1676,1.0244
308.15,3.0,1.0,1.1833,1.0579
308.15,0.5,1.5,1.1344,1.1488
308.15,1.0,1.5,1.1515,1.163
308.15,1.5,1.5,1.1687,1.1766
308.15,2.0,1.5,1.1847,1.2012
308.15,2.5,1.5,1.2003,1.2145
308.15,0.5,2.0,1.1705,1.3391
308.15,1.0,2.0,1.1864,1.3776
308.15,1.5,2.0,1.202,1.3752
308.15,2.0,2.0,1.2174,1.4078
308.15,0.5,2.5,1.2044,1.5783
308.15,1.0,2.5,1.2195,1.6039
308.15,1.5,2.5,1.2346,1.6433
308.15,0.5,3.0,1.2363,1.876
308.15,1.0,3.0,1.2508,1.8966
308.15,0.5,3.5,1.266,2.2371
308.15,1.0,3.5,1.2805,2.3077
308.15,0.5,4.0,1.2954,2.7386
313.15,0.5,0.5,1.0561,0.7879
