m_NaCl_mol_kg,x_CO2,T_K,P_MPa,rho_kg_m3
0.77,0.0,274.83,1.31,1033.05
0.77,0.0,274.83,15.21,1039.38
0.77,0.0,274.83,30.12,1045.95
0.77,0.0,274.83,49.95,1054.41
0.77,0.0,274.83,69.81,1062.53
0.77,0.0,274.83,99.82,1074.13
0.77,0.0,296.22,1.38,1028.25
0.77,0.0,296.22,15.22,1034.12
0.77,0.0,296.22,30.11,1040.25
0.77,0.0,296.22,49.93,1048.04
0.77,0.0,296.22,69.81,1055.61
0.77,0.0,296.22,99.84,1066.51
0.77,0.0,323.33,1.34,1017.8
0.77,0.0,323.33,15.26,1023.47
0.77,0.0,323.33,30.16,1029.36
0.77,0.0,323.33,49.98,1036.98
0.77,0.0,323.33,69.84,1044.3
0.77,0.0,323.33,99.89,1054.9
0.77,0.0,348.21,1.38,1004.37
0.77,0.0,348.21,15.26,1010.15
0.77,0.0,348.21,30.18,1016.18
0.77,0.0,348.21,50.0,1023.83
0.77,0.0,348.21,69.88,1031.26
0.77,0.0,348.21,99.92,1041.89
0.77,0.0,373.25,1.4,988.09
0.77,0.0,373.25,15.31,994.18
0.77,0.0,373.25,30.22,1000.44
0.77,0.0,373.25,50.06,1008.5
0.77,0.0,373.25,69.93,1016.2
0.77,0.0,373.25,99.96,1027.15
0.77,0.0,398.81,1.46,969.16
0.77,0.0,398.81,15.37,975.7
0.77,0.0,398.81,30.26,982.49
0.77,0.0,398.81,50.08,991.06
0.77,0.0,398.81,69.95,999.13
0.77,0.0,398.81,99.99,1010.69
0.77,0.0,423.73,1.45,947.66
0.77,0.0,423.73,15.37,954.86
0.77,0.0,423.73,30.27,962.29
0.77,0.0,423.73,50.11,971.57
0.77,0.0,423.73,69.96,980.32
0.77,0.0,423.73,100.0,992.59
0.77,0.0,448.97,1.46,923.83
0.77,0.0,448.97,15.38,932.02
0.77,0.0,448.97,30.29,940.31
0.77,0.0,448.97,50.12,950.53
0.77,0.0,448.97,69.98,960.05
0.77,0.0,448.97,100.0,973.43
0.77,0.0078,274.93,15.2,1042.1
0.77,0.0078,274.93,30.11,1048.54
0.77,0.0078,274.93,49.98,1056.88
0.77,0.0078,274.93,69.86,1064.93
0.77,0.0078,274.93,99.9,1076.47
0.77,0.0078,296.22,15.21,1036.82
0.77,0.0078,296.22,30.09,1042.9
0.77,0.0078,296.22,49.94,1050.7
0.77,0.0078,296.22,69.82,1058.23
0.77,0.0078,296.22,99.84,1069.13
0.77,0.0078,323.35,15.23,1025.97
0.77,0.0078,323.35,30.14,1031.96
0.77,0.0078,323.35,50.01,1039.57
0.77,0.0078,323.35,69.89,1046.9
0.77,0.0078,323.35,99.87,1057.49
0.77,0.0078,348.2,15.22,1012.34
0.77,0.0078,348.2,30.09,1018.37
0.77,0.0078,348.2,49.96,1026.19
0.77,0.0078,348.2,69.86,1033.63
0.77,0.0078,348.2,99.89,1044.33
0.77,0.0078,373.22,15.27,995.79
0.77,0.0078,373.22,30.15,1002.18
0.77,0.0078,373.22,50.03,1010.37
0.77,0.0078,373.22,69.91,1018.13
0.77,0.0078,373.22,99.91,1029.24
0.77,0.0078,398.38,15.29,976.7
0.77,0.0078,398.38,30.18,983.6
0.77,0.0078,398.38,50.06,992.35
0.77,0.0078,398.38,69.92,1000.65
0.77,0.0078,398.38,99.93,1012.39
0.77,0.0078,423.73,15.3,955.13
0.77,0.0078,423.73,30.2,962.72
0.77,0.0078,423.73,50.07,972.37
0.77,0.0078,423.73,69.94,981.27
0.77,0.0078,423.73,99.93,993.88
0.77,0.0078,448.95,15.3,931.45
0.77,0.0078,448.95,30.21,940.01
0.77,0.0078,448.95,50.08,950.72
0.77,0.0078,448.95,69.94,960.53
0.77,0.0078,448.95,99.94,974.22
0.77,0.0122,274.99,15.26,1042.95
0.77,0.0122,274.99,30.15,1049.29
0.77,0.0122,274.99,50.04,1057.53
0.77,0.0122,274.99,69.9,1065.51
0.77,0.0122,274.99,99.95,1077.01
0.77,0.0122,296.2,15.26,1037.62
0.77,0.0122,296.2,30.13,1043.57
0.77,0.0122,296.2,50.01,1051.36
0.77,0.0122,296.2,69.88,1058.94
0.77,0.0122,296.2,99.94,1069.76
0.77,0.0122,323.34,15.26,1026.65
0.77,0.0122,323.34,30.17,1032.56
0.77,0.0122,323.34,50.04,1040.12
0.77,0.0122,323.34,69.92,1047.45
0.77,0.0122,323.34,99.93,1058.01
0.77,0.0122,348.19,30.23,1018.84
0.77,0.0122,348.19,50.08,1026.61
0.77,0.0122,348.19,69.94,1034.12
0.77,0.0122,348.19,99.98,1044.82
0.77,0.0122,373.24,30.3,1002.42
0.77,0.0122,373.24,50.22,1010.56
0.77,0.0122,373.24,70.1,1018.4
0.77,0.0122,373.24,100.12,1029.5
0.77,0.0122,398.31,30.29,983.55
0.77,0.0122,398.31,50.18,992.36
0.77,0.0122,398.31,70.08,1000.71
0.77,0.0122,398.31,100.1,1012.48
0.77,0.0122,423.62,30.29,962.25
0.77,0.0122,423.62,50.17,971.93
0.77,0.0122,423.62,70.08,981.1
0.77,0.0122,423.62,100.03,993.79
0.77,0.0122,448.85,30.3,938.95
0.77,0.0122,448.85,50.19,949.84
0.77,0.0122,448.85,70.08,959.96
0.77,0.0122,448.85,100.04,973.74
0.77,0.0159,274.98,15.23,1046.29
0.77,0.0159,274.98,30.17,1052.59
0.77,0.0159,274.98,50.06,1060.79
0.77,0.0159,274.98,69.94,1068.7
0.77,0.0159,274.98,99.99,1080.07
0.77,0.0159,296.17,15.2,1040.88
0.77,0.0159,296.17,30.08,1046.89
0.77,0.0159,296.17,50.11,1054.61
0.77,0.0159,296.17,69.84,1062.15
0.77,0.0159,296.17,99.94,1072.95
0.77,0.0159,323.32,30.18,1035.45
0.77,0.0159,323.32,50.14,1043.09
0.77,0.0159,323.32,69.97,1050.47
0.77,0.0159,323.32,99.98,1061.04
0.77,0.0159,348.21,50.24,1029.33
0.77,0.0159,348.21,70.1,1036.87
0.77,0.0159,348.21,99.99,1047.7
0.77,0.0159,373.23,50.24,1013.07
0.77,0.0159,373.23,70.12,1020.96
0.77,0.0159,373.23,100.0,1032.18
0.77,0.0159,398.29,50.25,994.66
0.77,0.0159,398.29,70.11,1003.1
0.77,0.0159,398.29,99.99,1015.01
0.77,0.0159,423.63,50.25,973.84
0.77,0.0159,423.63,70.11,983.13
0.77,0.0159,423.63,100.0,996.08
0.77,0.0159,448.83,50.25,951.41
0.77,0.0159,448.83,70.14,961.71
0.77,0.0159,448.83,100.0,975.91
2.5,0.0,274.95,1.34,1098.36
2.5,0.0,274.95,15.26,1103.81
2.5,0.0,274.95,30.19,1109.5
2.5,0.0,274.95,50.04,1116.83
2.5,0.0,274.95,69.93,1123.92
2.5,0.0,274.95,99.99,1134.12
2.5,0.0,296.19,1.33,1090.47
2.5,0.0,296.19,15.24,1095.73
2.5,0.0,296.19,30.16,1101.16
2.5,0.0,296.19,50.02,1108.18
2.5,0.0,296.19,69.88,1115.02
2.5,0.0,296.19,99.98,1124.82
2.5,0.0,323.3,1.38,1077.94
2.5,0.0,323.3,15.29,1083.2
2.5,0.0,323.3,30.22,1088.58
2.5,0.0,323.3,50.06,1095.53
2.5,0.0,323.3,69.95,1102.24
2.5,0.0,323.3,100.01,1111.99
2.5,0.0,348.21,1.36,1064.12
2.5,0.0,348.21,15.27,1069.47
2.5,0.0,348.21,30.2,1075.01
2.5,0.0,348.21,50.06,1082.15
2.5,0.0,348.21,69.96,1089.02
2.5,0.0,348.21,100.02,1098.91
2.5,0.0,373.22,1.38,1047.69
2.5,0.0,373.22,15.31,1053.49
2.5,0.0,373.22,30.23,1059.36
2.5,0.0,373.22,50.09,1066.79
2.5,0.0,373.22,69.96,1073.94
2.5,0.0,373.22,100.04,1084.13
2.5,0.0,398.29,1.39,1029.58
2.5,0.0,398.29,15.3,1035.58
2.5,0.0,398.29,30.23,1041.92
2.5,0.0,398.29,50.08,1049.89
2.5,0.0,398.29,69.98,1057.41
2.5,0.0,398.29,100.05,1068.15
2.5,0.0,423.62,1.41,1009.24
2.5,0.0,423.62,15.33,1015.81
2.5,0.0,423.62,30.25,1022.75
2.5,0.0,423.62,50.1,1031.25
2.5,0.0,423.62,69.99,1039.38
2.5,0.0,423.62,100.05,1050.77
2.5,0.0,448.85,1.41,987.39
2.5,0.0,448.85,15.33,994.66
2.5,0.0,448.85,30.26,1002.41
2.5,0.0,448.85,50.11,1011.56
2.5,0.0,448.85,69.99,1020.26
2.5,0.0,448.85,100.05,1032.59
2.5,0.0044,274.88,15.21,1105.65
2.5,0.0044,274.88,30.11,1111.39
2.5,0.0044,274.88,49.99,1118.74
2.5,0.0044,274.88,69.85,1125.78
2.5,0.0044,274.88,99.91,1135.93
2.5,0.0044,296.17,15.22,1097.4
2.5,0.0044,296.17,30.17,1102.57
2.5,0.0044,296.17,50.02,1109.85
2.5,0.0044,296.17,69.9,1116.68
2.5,0.0044,296.17,99.94,1126.53
