x_CO2,T_K,p_MPa,eta_mPas
0.0,274.65,1.4,1.748
0.0,348.34,1.4,0.412
0.0,373.31,1.4,0.31
0.0,274.65,15.3,1.718
0.0,348.34,15.3,0.416
0.0,373.31,30.2,0.318
0.0,274.65,30.2,1.704
0.0,348.34,30.2,0.421
0.0,373.31,50.0,0.323
0.0,274.65,50.1,1.7
0.0,348.34,50.0,0.429
0.0,373.31,69.9,0.329
0.0,348.34,69.9,0.433
0.0,373.31,100.0,0.338
0.0,398.18,1.4,0.247
0.0,423.31,15.3,0.206
0.0,448.27,30.3,0.181
0.0,398.18,15.3,0.251
0.0,423.31,30.2,0.212
0.0,448.27,50.1,0.185
0.0,398.18,30.2,0.256
0.0,423.31,50.1,0.216
0.0,448.27,70.0,0.19
0.0,398.18,50.1,0.26
0.0,423.31,70.0,0.22
0.0,448.27,100.0,0.197
0.0,398.18,70.0,0.265
0.0,423.31,100.0,0.228
0.0,398.18,100.0,0.273
0.0122,274.64,15.2,1.899
0.0122,348.36,30.2,0.431
0.0122,373.34,30.3,0.325
0.0122,274.64,30.2,1.882
0.0122,348.36,50.1,0.436
0.0122,373.34,50.2,0.33
0.0122,274.64,69.9,1.843
0.0122,348.36,69.9,0.442
0.0122,373.34,70.1,0.336
0.0122,274.64,99.9,1.813
0.0122,373.34,100.1,0.346
0.0122,398.24,30.3,0.26
0.0122,423.37,30.3,0.213
0.0122,448.33,30.3,0.183
0.0122,398.24,50.2,0.265
0.0122,423.37,50.2,0.219
0.0122,448.33,50.2,0.187
0.0122,398.24,70.1,0.269
0.0122,423.37,70.1,0.224
0.0122,448.33,70.1,0.193
0.0122,423.37,100.0,0.232
0.0122,448.33,100.0,0.2
0.0159,274.63,15.2,1.961
0.0159,348.34,50.2,0.443
0.0159,373.29,50.2,0.335
0.0159,274.63,30.2,1.942
0.0159,348.34,70.1,0.449
0.0159,373.29,70.1,0.341
0.0159,274.63,100.0,1.872
0.0159,373.29,100.0,0.351
0.0159,423.28,50.2,0.222
0.0159,448.23,50.3,0.19
0.0159,423.28,70.1,0.227
0.0159,448.23,70.1,0.195
0.0159,423.28,100.0,0.235
0.0159,448.23,100.0,0.202
