column_group,T_K,P_MPa,rho_kg_m3,coexistence_line
0,284.35,5.21,1019.32,0
1,292.89,12.36,1019.73,0
2,312.74,10.33,1008.19,0
0,284.05,6.23,1020.20,0
1,292.89,14.41,1020.70,0
2,312.74,12.38,1009.36,0
3,283.01,1.13,1005.23,1
0,284.04,8.25,1021.57,0
1,292.99,14.42,1020.60,0
2,312.77,14.41,1010.54,0
3,283.02,2.14,1008.52,1
0,283.97,10.26,1022.65,0
1,292.85,16.44,1021.87,0
2,312.74,16.43,1011.61,0
3,283.03,6.22,1020.06,1
0,284.04,12.30,1023.52,0
1,292.93,16.46,1021.87,0
2,312.75,18.46,1012.59,0
3,283.02,8.26,1021.53,1
0,284.04,14.24,1024.52,0
1,292.84,18.48,1022.64,0
2,312.85,20.40,1013.69,0
3,284.38,4.18,1015.54,1
0,283.99,16.37,1025.86,0
1,292.91,18.42,1022.96,0
2,312.54,22.46,1014.64,0
3,284.50,4.76,1019.07,1
0,284.05,18.40,1027.24,0
1,292.88,20.47,1023.93,0
2,312.74,24.46,1015.73,0
3,284.47,4.83,1019.14,1
0,283.87,20.42,1028.31,0
1,292.91,20.47,1023.93,0
2,312.88,26.49,1016.71,0
3,284.67,5.23,1019.23,1
0,283.95,22.46,1028.78,0
1,292.84,22.49,1025.10,0
2,312.83,28.48,1017.80,0
3,284.70,6.23,1019.82,1
0,283.91,24.47,1029.66,0
1,292.93,22.47,1024.91,0
2,322.80,1.10,988.52,0
3,284.48,1.10,1004.79,1
0,283.80,26.49,1030.33,0
1,292.85,24.49,1026.09,0
2,322.81,2.10,990.71,0
3,284.47,2.11,1008.28,1
0,284.86,1.10,1004.81,0
1,292.98,24.49,1025.89,0
2,322.90,4.18,995.07,0
3,284.59,4.10,1015.77,1
0,284.86,2.12,1009.49,0
1,292.90,26.51,1027.06,0
2,322.85,6.22,997.94,0
3,284.58,4.10,1015.97,1
0,284.91,4.14,1014.67,0
1,292.92,26.53,1027.26,0
2,322.79,8.26,1000.51,0
3,284.48,4.71,1018.78,1
0,284.93,6.18,1019.24,0
1,292.88,28.55,1028.23,0
2,322.84,10.28,1002.38,0
3,284.58,5.16,1018.85,1
0,284.94,8.22,1020.51,0
1,292.90,28.53,1028.14,0
2,322.85,12.33,1003.75,0
3,284.54,6.22,1019.42,1
0,284.94,10.29,1021.88,0
1,292.86,30.58,1029.11,0
2,322.85,14.40,1005.11,0
3,284.91,1.07,1004.32,1
0,284.91,12.37,1023.03,0
1,293.93,1.11,1000.44,0
2,322.78,16.41,1006.09,0
3,284.63,2.09,1009.19,1
0,284.91,14.48,1024.18,0
1,293.92,2.12,1006.03,0
2,322.81,18.43,1007.07,0
3,284.51,3.11,1011.88,1
0,284.90,16.52,1025.25,0
1,293.88,4.16,1011.80,0
2,322.84,20.44,1008.15,0
3,284.38,4.72,1019.07,1
0,284.91,18.54,1026.43,0
1,293.84,6.18,1015.57,0
2,322.84,22.45,1009.13,0
3,284.42,6.23,1019.81,1
0,284.89,20.55,1027.51,0
1,293.84,8.24,1017.04,0
2,322.94,24.50,1010.30,0
3,287.73,1.08,1003.32,1
0,284.89,22.57,1028.58,0
1,293.85,10.28,1018.01,0
2,322.94,26.53,1011.27,0
3,287.63,2.11,1008.50,1
0,284.92,24.59,1029.66,0
1,293.84,12.32,1019.18,0
2,322.84,28.55,1012.45,0
3,287.81,4.18,1015.37,1
0,283.89,26.61,1030.70,0
1,293.82,14.34,1020.25,0
2,331.85,1.18,984.63,0
3,287.71,4.91,1016.84,1
0,283.90,28.64,1031.77,0
1,293.82,16.38,1021.33,0
2,331.85,2.19,986.11,0
3,287.75,5.21,1017.95,1
0,283.93,30.66,1033.05,0
1,293.82,18.40,1022.50,0
2,331.85,4.20,989.69,0
3,292.85,1.11,1001.40,1
0,287.76,1.09,1003.12,0
1,293.82,20.44,1023.47,0
2,331.83,6.26,992.46,0
3,292.94,2.16,1004.88,1
0,287.75,2.13,1008.30,0
1,293.85,22.44,1024.56,0
2,331.83,8.31,995.03,0
3,292.85,4.18,1011.95,1
0,287.68,4.18,1015.26,0
1,293.84,24.45,1025.54,0
2,331.82,10.32,996.60,0
3,292.87,5.66,1015.70,1
0,287.69,4.90,1017.24,0
1,293.83,26.48,1026.61,0
2,332.15,12.31,998.30,0
3,292.75,5.76,1016.16,1
0,287.66,5.20,1017.95,0
1,293.83,28.52,1027.68,0
2,332.15,14.34,999.28,0
3,292.76,8.36,1017.36,1
0,287.84,6.16,1018.36,0
1,293.84,30.53,1028.76,0
2,332.15,16.36,1000.25,0
3,303.17,1.11,998.38,1
0,287.79,8.23,1019.62,0
1,302.85,1.12,998.17,0
2,332.16,18.39,1001.53,0
3,303.06,2.15,1001.66,1
0,287.68,10.27,1020.68,0
1,302.78,2.15,1000.65,0
2,331.75,20.41,1002.59,0
3,302.61,4.20,1006.91,1
0,287.65,12.31,1021.85,0
1,302.68,4.18,1005.12,0
2,331.66,22.42,1003.86,0
3,302.75,6.28,1010.47,1
0,287.73,14.27,1022.85,0
1,302.73,6.25,1010.48,0
2,332.06,24.46,1005.05,0
3,302.76,7.10,1011.52,1
0,287.72,18.33,1025.20,0
1,302.75,8.26,1012.56,0
2,332.15,26.47,1005.93,0
3,302.61,7.17,1011.69,1
0,287.69,22.35,1027.36,0
1,302.79,10.32,1013.73,0
2,332.15,28.47,1007.22,0
3,302.76,8.26,1012.56,1
0,287.68,26.39,1029.51,0
1,302.79,12.36,1014.70,0
2,333.23,1.11,983.70,0
0,287.76,28.39,1030.69,0
1,302.75,14.38,1015.77,0
2,333.19,2.15,985.58,0
0,292.85,1.17,1001.98,0
1,302.77,16.44,1016.84,0
2,333.10,4.19,988.24,0
0,292.91,1.11,1000.50,0
1,302.79,18.46,1017.92,0
2,333.02,6.24,991.01,0
0,292.83,2.14,1005.98,0
1,302.87,20.49,1018.89,0
2,333.13,8.27,993.09,0
0,292.86,2.19,1006.57,0
1,302.84,22.52,1019.96,0
2,333.04,10.31,994.55,0
0,292.87,4.19,1012.55,0
1,302.81,24.52,1021.05,0
2,333.09,12.35,996.63,0
0,292.94,4.22,1012.55,0
1,302.82,26.54,1022.02,0
2,333.12,14.39,998.40,0
0,292.81,6.29,1016.30,0
1,302.77,28.55,1023.10,0
2,333.03,16.41,999.87,0
0,292.89,6.26,1016.11,0
1,302.79,30.50,1024.10,0
2,333.03,18.44,1001.14,0
0,292.83,8.34,1017.37,0
1,312.89,1.10,994.25,0
2,333.03,20.46,1002.52,0
0,292.87,8.28,1017.39,0
1,312.77,2.17,996.81,0
2,333.02,22.47,1003.40,0
0,292.81,10.39,1018.54,0
1,312.75,4.19,1000.89,0
2,333.02,24.49,1004.48,0
0,292.87,10.31,1018.46,0
1,312.74,6.25,1004.25,0
2,333.02,26.51,1005.45,0
0,292.69,12.42,1019.91,0
1,312.73,8.30,1006.82,0
