sample,T_K,Na,Ca,Cl,I,eta_meas,eta_calc,dev_pct,series
0,293,0.0,0.0,0.0,0.0,1.0073,1.0073,0.0,0
1–2,293,0.1002,0.0,0.1002,0.1002,1.019,1.0157,0.3223,1
1–3,293,0.2008,0.0,0.2008,0.2008,1.0254,1.0243,0.1017,1
1–4,293,0.4,0.0,0.4,0.4,1.0517,1.0424,0.8786,1
1–5,293,0.7013,0.0,0.7013,0.7013,1.0784,1.072,0.5891,1
1–6,293,0.9991,0.0,0.9991,0.9991,1.1059,1.1039,0.177,1
1–7,293,1.4993,0.0,1.4993,1.4993,1.1584,1.1635,0.4357,1
1–8,293,2.0028,0.0,2.0028,2.0028,1.2501,1.231,1.5302,1
1–9,293,2.9997,0.0,2.9997,2.9997,1.3776,1.387,0.6866,1
1–10,293,3.994,0.0,3.994,3.994,1.5479,1.5723,1.5729,1
1–11,293,4.9969,0.0,4.9969,4.9969,1.7738,1.7891,0.8633,1
1–12,293,5.998,0.0,5.998,5.998,1.9949,2.0355,2.0361,1
2–2,293,0.0,0.0513,0.1026,0.1539,1.0215,1.0073,1.3941,2
2–3,293,0.0,0.0972,0.1944,0.2916,1.0346,1.008,2.5692,2
2–4,293,0.0,0.1785,0.357,0.5355,1.0569,1.011,4.3407,2
2–5,293,0.0,0.3828,0.7656,1.1484,1.1139,1.0287,7.6524,2
2–6,293,0.0,0.7532,1.5064,2.2596,1.2389,1.0972,11.4373,2
2–7,293,0.0,1.5667,3.1334,4.7001,1.5949,1.4131,11.3992,2
2–8,293,0.0,2.1439,4.2878,6.4317,1.9276,1.775,7.917,2
2–9,293,0.0,2.815,5.63,8.445,2.306,2.3397,1.4585,2
3–1,293,0.0855,0.0857,0.2569,0.3426,1.0332,1.0162,1.6438,3
3–2,293,0.3249,0.3286,0.9821,1.3107,1.1211,1.0706,4.5036,3
3–3,293,0.6459,0.6489,1.9437,2.5926,1.2797,1.2082,5.5834,3
3–4,293,1.2726,1.2662,3.805,5.0712,1.6459,1.6539,0.4829,3
3–5,293,2.2426,2.2379,6.7184,8.9563,2.6648,2.7152,1.8913,3
4–1,293,0.3325,0.3327,0.9979,1.3306,1.1303,1.0725,5.1151,4
4–2,293,0.6948,0.6946,2.084,2.7786,1.2907,1.2342,4.3798,4
4–3,293,0.9887,0.9869,2.9625,3.9494,1.4494,1.4261,1.612,4
4–4,293,1.267,1.264,3.795,5.059,1.646,1.651,0.3003,4
4–5,293,1.6359,1.6327,4.9013,6.534,1.9584,2.0065,2.4565,4
4–6,293,1.8898,1.8906,5.671,7.5616,2.1754,2.2888,5.2082,4
5–1,293,0.194,0.3875,0.969,1.3565,1.1297,1.0597,6.1983,5
5–2,293,0.3832,0.7662,1.9156,2.6818,1.2787,1.1878,7.1131,5
5–3,293,0.5897,1.1779,2.9455,4.1234,1.4897,1.4079,5.4893,5
5–4,293,0.7669,1.5342,3.8353,5.3695,1.6892,1.6594,1.7629,5
5–5,293,0.9491,1.8987,4.7465,6.6452,1.9602,1.9708,0.5432,5
5–6,293,1.1296,2.2585,5.6466,7.9051,2.2732,2.3281,2.4172,5
6–1,293,0.5005,0.2502,1.0009,1.2511,1.1241,1.0836,3.6038,6
6–2,293,1.0005,0.5003,2.0011,2.5014,1.2565,1.2314,1.9982,6
6–3,293,1.4943,0.7471,2.9885,3.7356,1.4332,1.4357,0.1757,6
6–4,293,1.9639,0.982,3.9279,4.9099,1.6419,1.6733,1.9162,6
6–5,293,2.4344,1.2172,4.8688,6.086,1.9423,1.9475,0.2636,6
6–6,293,2.9041,1.4521,5.8083,7.2604,2.3338,2.2542,3.4109,6
7–1,293,0.6058,0.202,1.0098,1.2118,1.1194,1.0901,2.6163,7
7–2,293,1.2039,0.4013,2.0065,2.4078,1.2562,1.2365,1.5665,7
7–3,293,1.8012,0.6004,3.002,3.6024,1.429,1.4346,0.3875,7
7–4,293,2.3866,0.7955,3.9776,4.7731,1.6142,1.6686,3.3652,7
7–5,293,2.9623,0.9875,4.9373,5.9248,1.8592,1.9321,3.9223,7
7–6,293,3.5288,1.1763,5.8814,7.0577,2.1306,2.2214,4.2603,7
8–1,293,0.3816,0.3143,1.0102,1.3245,1.135,1.0769,5.1171,8
8–2,293,0.7558,0.6224,2.0006,2.623,1.2831,1.2228,4.7047,8
8–3,293,1.1202,0.9225,2.9652,3.8877,1.4893,1.429,4.0465,8
8–4,293,1.4716,1.2119,3.8954,5.1073,1.6775,1.6782,0.0389,8
8–5,293,1.8224,1.5007,4.8238,6.3245,1.9268,1.9692,2.2042,8
8–6,293,2.1688,1.7861,5.741,7.5271,2.2512,2.2945,1.9248,8
9–1,293,1.2289,0.0,1.2289,1.2289,1.1179,1.1303,1.1173,9
9–2,293,2.4859,0.0,2.4859,2.4859,1.2663,1.3029,2.8877,9
9–3,293,3.8405,0.0,3.8405,3.8405,1.4776,1.5418,4.3429,9
9–4,293,5.0149,0.0,5.0149,5.0149,1.7134,1.7933,4.6604,9
9–5,293,6.0878,0.0,6.0878,6.0878,2.0068,2.0591,2.6072,9
10–1,293,0.0,1.2402,2.4804,3.7206,1.4558,1.259,13.516,10
10–2,293,0.0,2.3762,4.7524,7.1286,2.1266,1.953,8.1664,10
10–3,293,0.0,3.4164,6.8328,10.2492,3.0172,2.9771,1.3309,10
10–4,293,0.0,4.3743,8.7486,13.1229,4.4968,4.2488,5.5169,10
10–5,293,0.0,5.2622,10.524,15.7866,6.6629,5.7089,14.318,10
0,298,0.0,0.0,0.0,0.0,0.8984,0.8984,0.0,0
1–2,298,0.1002,0.0,0.1002,0.1002,0.9137,0.9065,0.796,1
1–3,298,0.2008,0.0,0.2008,0.2008,0.9146,0.9148,0.0188,1
1–4,298,0.4,0.0,0.4,0.4,0.9406,0.932,0.9214,1
1–5,298,0.7013,0.0,0.7013,0.7013,0.9537,0.9597,0.6301,1
1–6,298,0.9991,0.0,0.9991,0.9991,0.9919,0.9893,0.2614,1
1–7,298,1.4993,0.0,1.4993,1.4993,1.0369,1.0436,0.648,1
1–8,298,2.0028,0.0,2.0028,2.0028,1.121,1.1043,1.4917,1
1–9,298,2.9997,0.0,2.9997,2.9997,1.2333,1.2419,0.6995,1
1–10,298,3.994,0.0,3.994,3.994,1.3864,1.4025,1.16,1
1–11,298,4.9969,0.0,4.9969,4.9969,1.5863,1.588,0.1094,1
1–12,298,5.998,0.0,5.998,5.998,1.7716,1.7968,1.4212,1
2–2,298,0.0,0.0513,0.1026,0.1539,0.9117,0.8986,1.4316,2
2–3,298,0.0,0.0972,0.1944,0.2916,0.9234,0.8995,2.5924,2
2–4,298,0.0,0.1785,0.357,0.5355,0.9445,0.9026,4.4296,2
2–5,298,0.0,0.3828,0.7656,1.1484,0.9968,0.9195,7.7545,2
2–6,298,0.0,0.7532,1.5064,2.2596,1.1129,0.9826,11.712,2
2–7,298,0.0,1.5667,3.1334,4.7001,1.4354,1.2685,11.623,2
2–8,298,0.0,2.1439,4.2878,6.4317,1.7358,1.5943,8.1512,2
2–9,298,0.0,2.815,5.63,8.445,2.0745,2.1012,1.2889,2
3–1,298,0.0855,0.0857,0.2569,0.3426,0.9228,0.9073,1.6794,3
3–2,298,0.3249,0.3286,0.9821,1.3107,1.0053,0.9583,4.6711,3
3–3,298,0.6459,0.6489,1.9437,2.5926,1.1499,1.0838,5.7476,3
3–4,298,1.2726,1.2662,3.805,5.0712,1.4802,1.484,0.26,3
3–5,298,2.2426,2.2379,6.7184,8.9563,2.3791,2.4259,1.9678,3
4–1,298,0.3325,0.3327,0.9979,1.3306,1.0124,0.96,5.1753,4
4–2,298,0.6948,0.6946,2.084,2.7786,1.1598,1.1073,4.528,4
4–3,298,0.9887,0.9869,2.9625,3.9494,1.3032,1.28,1.7766,4
