x_CO2,T_K,p_MPa,rho_kg_m3
0.0086,274.73,15.01,1012.0
0.0086,296.17,15.1,1008.6
0.0086,323.45,15.02,998.4
0.0086,274.73,30.11,1019.0
0.0086,296.17,30.2,1015.0
0.0086,323.45,30.13,1004.7
0.0086,274.73,50.24,1028.1
0.0086,296.17,50.26,1023.4
0.0086,323.45,50.25,1012.8
0.0086,274.73,70.36,1036.8
0.0086,296.17,70.33,1031.4
0.0086,323.45,70.36,1020.6
0.0086,274.73,100.67,1049.3
0.0086,296.17,100.65,1042.9
0.0086,323.45,100.72,1031.6
0.0086,348.32,15.05,984.8
0.0086,373.42,15.09,967.8
0.0086,398.55,15.06,948.3
0.0086,348.32,30.15,991.3
0.0086,373.42,30.18,974.6
0.0086,398.55,30.17,955.6
0.0086,348.32,50.27,999.5
0.0086,373.42,50.28,983.2
0.0086,398.55,50.29,964.9
0.0086,348.32,70.37,1007.3
0.0086,373.42,70.39,991.5
0.0086,398.55,70.39,973.7
0.0086,348.32,100.71,1018.6
0.0086,373.42,100.71,1003.2
0.0086,398.55,100.71,986.0
0.0086,423.92,15.07,925.9
0.0086,449.2,15.08,900.7
0.0086,423.92,30.18,934.0
0.0086,449.2,30.19,909.9
0.0086,423.92,50.3,944.2
0.0086,449.2,50.31,921.3
0.0086,423.92,70.42,953.8
0.0086,449.2,70.42,931.8
0.0086,423.92,100.71,967.1
0.0086,449.2,100.71,946.4
0.0168,274.77,15.08,1017.3
0.0168,296.19,15.07,1013.3
0.0168,323.43,15.06,1002.5
0.0168,274.77,30.19,1024.1
0.0168,296.19,30.17,1019.7
0.0168,323.43,30.18,1008.8
0.0168,274.77,50.31,1033.0
0.0168,296.19,50.3,1027.9
0.0168,323.43,50.3,1016.9
0.0168,274.77,70.43,1041.6
0.0168,296.19,70.41,1035.9
0.0168,323.43,70.42,1024.6
0.0168,274.77,100.71,1053.9
0.0168,296.19,100.73,1047.3
0.0168,323.43,100.72,1035.7
0.0168,348.38,30.2,994.9
0.0168,373.46,30.19,977.8
0.0168,398.55,30.19,958.2
0.0168,348.38,50.32,1003.2
0.0168,373.46,50.32,986.5
0.0168,398.55,50.33,967.8
0.0168,348.38,70.45,1011.1
0.0168,373.46,70.45,994.9
0.0168,398.55,70.46,976.7
0.0168,348.38,100.74,1022.4
0.0168,373.46,100.74,1006.7
0.0168,398.55,100.73,989.4
0.0168,423.93,30.2,935.7
0.0168,449.2,30.21,910.8
0.0168,423.93,50.34,946.2
0.0168,449.2,50.36,922.6
0.0168,423.93,70.46,956.0
0.0168,449.2,70.47,933.5
0.0168,423.93,100.73,969.7
0.0168,449.2,100.74,948.4
0.0271,274.72,30.29,1030.1
0.0271,296.18,30.25,1025.3
0.0271,323.43,70.46,1029.6
0.0271,274.72,50.41,1038.8
0.0271,296.18,50.36,1033.4
0.0271,323.43,100.78,1040.7
0.0271,274.72,70.53,1047.2
0.0271,296.18,70.44,1041.2
0.0271,274.72,100.77,1059.2
0.0271,296.18,100.76,1052.6
0.0271,348.33,70.58,1015.3
0.0271,373.38,70.59,998.2
0.0271,398.48,50.47,970.0
0.0271,348.33,100.78,1026.8
0.0271,373.38,100.8,1010.3
0.0271,398.48,70.6,979.3
0.0271,398.48,100.8,992.1
0.0271,423.84,50.46,948.0
0.0271,449.17,50.45,923.6
0.0271,423.84,70.58,958.1
0.0271,449.17,70.57,934.9
0.0271,423.84,100.81,972.1
0.0271,449.17,100.8,950.3
