x_CO2,T_K,p_MPa,eta_mPas
0.0086,294.3,15.1,1.013
0.0086,322.93,15.0,0.56
0.0086,373.13,15.0,0.286
0.0086,294.3,30.2,1.014
0.0086,322.93,30.1,0.564
0.0086,373.13,30.1,0.291
0.0086,294.3,50.3,1.012
0.0086,322.93,50.2,0.568
0.0086,373.13,50.2,0.297
0.0086,294.3,70.3,1.008
0.0086,322.93,70.2,0.573
0.0086,373.13,70.3,0.302
0.0086,294.3,96.4,1.008
0.0086,322.93,96.3,0.582
0.0086,373.13,96.4,0.308
0.0086,397.98,30.1,0.231
0.0086,424.03,30.1,0.19
0.0086,448.93,30.0,0.162
0.0086,397.98,50.2,0.236
0.0086,424.03,50.2,0.194
0.0086,448.93,50.1,0.167
0.0086,397.98,70.3,0.242
0.0086,424.03,70.2,0.199
0.0086,448.93,70.2,0.172
0.0086,397.98,96.4,0.248
0.0086,424.03,96.4,0.205
0.0086,448.93,96.3,0.178
0.0168,294.27,15.1,1.049
0.0168,322.91,15.0,0.568
0.0168,373.03,30.1,0.2932
0.0168,294.27,30.2,1.044
0.0168,322.91,30.1,0.573
0.0168,373.03,50.2,0.2989
0.0168,294.27,50.2,1.044
0.0168,322.91,50.2,0.578
0.0168,373.03,70.2,0.304
0.0168,294.27,70.2,1.041
0.0168,322.91,70.2,0.584
0.0168,373.03,96.2,0.3111
0.0168,294.27,96.3,1.046
0.0168,322.91,96.2,0.592
0.0168,397.88,30.1,0.233
0.0168,422.91,30.0,0.192
0.0168,448.29,30.0,0.163
0.0168,397.88,50.2,0.238
0.0168,422.91,50.1,0.196
0.0168,448.29,50.1,0.168
0.0168,397.88,70.2,0.244
0.0168,422.91,70.2,0.202
0.0168,448.29,70.1,0.173
0.0168,397.88,96.3,0.25
0.0168,422.91,96.2,0.208
0.0168,448.29,96.2,0.179
0.0271,294.31,30.3,1.096
0.0271,323.12,70.4,0.606
0.0271,374.09,70.3,0.309
0.0271,294.31,50.3,1.095
0.0271,323.12,96.5,0.615
0.0271,374.09,96.4,0.318
0.0271,294.31,70.4,1.097
0.0271,294.31,96.5,1.1
0.0271,398.98,50.2,0.241
0.0271,423.82,50.2,0.198
0.0271,448.71,50.2,0.169
0.0271,398.98,70.2,0.245
0.0271,423.82,70.3,0.204
0.0271,448.71,70.2,0.173
0.0271,398.98,96.3,0.254
0.0271,423.82,96.5,0.21
0.0271,448.71,96.4,0.179
